seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
127,3,0,0,0,5,5,0,11,11,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,2.6225055418908596,2.6198902083560824,-0.0026153335347771645
128,0,0,0,0,8,8,0,11,11,0,4,4,0,2,2,0,7,7,0,0,0,0,0,0,0,2.6541450833901763,2.552857874892652,-0.10128720849752426
129,1,0,0,0,9,9,0,9,9,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,2.3739348333328962,2.3206848334521055,-0.05324999988079071
130,2,1,1,0,10,10,0,9,9,0,3,3,0,2,2,0,7,7,0,1,1,0,0,0,0,2.337350166402757,2.467564375139773,0.13021420873701572
131,3,1,1,0,10,10,0,9,9,0,5,5,0,2,2,0,7,7,0,0,0,0,0,0,0,2.5146731669083238,2.4689696673303843,-0.04570349957793951
132,0,1,1,0,10,10,0,10,10,0,4,4,0,1,1,0,7,7,0,1,1,0,0,0,0,1.9178016250953078,1.9120224164798856,-0.005779208615422249
133,1,0,0,0,9,9,0,12,12,0,5,5,0,1,1,0,4,4,0,0,0,0,0,0,0,2.4622336672618985,2.446678167209029,-0.01555550005286932
134,2,1,1,0,10,10,0,13,13,0,3,3,0,2,2,0,3,3,0,1,1,0,0,0,0,1.9204907091334462,1.9042839156463742,-0.01620679348707199
135,3,0,0,0,8,8,0,10,10,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,2.0216852072626352,2.00995562504977,-0.011729582212865353
136,0,1,1,0,10,10,0,5,5,0,1,1,0,3,3,0,6,6,0,0,0,0,0,0,0,2.2548124166205525,2.2360337916761637,-0.018778624944388866
137,1,0,0,0,7,7,0,3,3,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,1.1826503342017531,1.1814539590850472,-0.0011963751167058945
138,2,0,0,0,7,7,0,13,13,0,4,4,0,1,1,0,6,6,0,0,0,0,0,0,0,2.3951850002631545,2.381859667599201,-0.013325332663953304
139,3,1,1,0,10,10,0,13,13,0,4,4,0,2,2,0,9,9,0,0,0,0,0,0,0,3.6964374594390392,3.66701512504369,-0.029422334395349026
140,0,0,0,0,8,8,0,5,5,0,1,1,0,3,3,0,4,4,0,0,0,0,0,0,0,2.27930395770818,2.4921428337693214,0.2128388760611415
141,1,0,0,0,9,9,0,3,3,0,1,1,0,2,2,0,6,6,0,0,0,0,0,0,0,1.9640988754108548,1.9428044995293021,-0.021294375881552696
142,2,0,0,0,6,6,0,4,4,0,2,2,0,1,1,0,6,6,0,0,0,0,0,0,0,2.049456083215773,2.040433124639094,-0.00902295857667923
143,3,1,1,0,10,10,0,9,9,0,0,0,0,4,4,0,3,3,0,1,1,0,0,0,0,1.672800250351429,1.6697901673614979,-0.0030100829899311066
144,0,1,1,0,10,10,0,8,8,0,3,3,0,2,2,0,6,6,0,0,0,0,0,0,0,2.0092285415157676,1.9457887094467878,-0.06343983206897974
145,1,0,0,0,8,8,0,7,7,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,2.179783542640507,2.2743046255782247,0.09452108293771744
146,2,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,5,5,0,1,1,0,0,0,0,1.5312876254320145,1.620842874981463,0.08955524954944849
147,3,0,0,0,8,8,0,5,5,0,1,1,0,3,3,0,6,6,0,0,0,0,0,0,0,1.8905847920104861,1.9598579164594412,0.06927312444895506
148,0,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,2,2,0,1,1,0,0,0,0,1.5035968758165836,1.5333083346486092,0.029711458832025528
149,1,1,1,0,10,10,0,12,12,0,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,2.0813262090086937,2.0739045003429055,-0.007421708665788174
150,2,0,0,0,5,5,0,11,11,0,5,5,0,0,0,0,6,6,0,0,0,0,0,0,0,1.911599458195269,1.9401516243815422,0.028552166186273098
151,3,0,0,0,4,4,0,7,7,0,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,1.746906291693449,1.7644642908126116,0.01755799911916256
