seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
147,3,0,0,0,8,5,-3,5,4,-1,1,3,2,3,0,-3,6,9,3,0,0,0,0,0,0,1.9127354584634304,1.5325743751600385,-0.38016108330339193
148,0,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,2,2,0,1,1,0,0,0,0,1.5844960417598486,1.5134581662714481,-0.07103787548840046
149,1,1,1,0,10,10,0,12,12,0,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,2.1024549175053835,2.1432674573734403,0.040812539868056774
150,2,0,0,0,5,5,0,11,11,0,5,5,0,0,0,0,6,6,0,0,0,0,0,0,0,2.0230768751353025,2.1996840834617615,0.17660720832645893
151,3,0,1,1,4,10,6,7,10,3,4,2,-2,0,3,3,2,1,-1,0,1,1,0,0,0,2.037929916754365,3.320595624856651,1.2826657081022859
152,0,0,0,0,4,4,0,6,6,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8648949172347784,0.8463966669514775,-0.018498250283300877
153,1,1,1,0,10,10,0,9,9,0,4,4,0,1,1,0,4,4,0,1,1,0,0,0,0,1.8777721673250198,1.9095033751800656,0.031731207855045795
154,2,0,0,0,4,4,0,5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1.2735730838030577,1.2328205844387412,-0.040752499364316463
155,3,1,1,0,10,10,0,14,14,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.526753166690469,2.6025752080604434,0.07582204136997461
156,0,1,1,0,10,10,0,6,6,0,2,2,0,3,3,0,5,5,0,0,0,0,0,0,0,2.0149995423853397,1.874205500818789,-0.14079404156655073
157,1,1,1,0,10,10,0,9,9,0,4,4,0,2,2,0,3,3,0,0,0,0,0,0,0,2.660166999325156,2.6989848744124174,0.0388178750872612
158,2,1,1,0,10,10,0,6,6,0,1,1,0,4,4,0,1,3,2,0,0,0,0,0,0,1.7331917081028223,2.1521229995414615,0.41893129143863916
159,3,0,0,0,8,8,0,6,6,0,3,3,0,2,2,0,5,5,0,0,0,0,0,0,0,1.6627144999802113,2.067161082290113,0.4044465823099017
160,0,1,0,-1,10,9,-1,10,7,-3,1,4,3,4,1,-3,4,8,4,0,0,0,0,0,0,3.0497157499194145,2.2808945002034307,-0.7688212497159839
161,1,1,1,0,10,10,0,12,13,1,4,5,1,2,1,-1,0,2,2,1,1,0,0,0,0,2.3318983325734735,2.5614813743159175,0.22958304174244404
162,2,1,1,0,10,10,0,10,10,0,4,4,0,1,1,0,2,2,0,1,1,0,0,0,0,1.83555662445724,1.7361420830711722,-0.09941454138606787
