strategy,seed,seat,winner,game_turns,first_road_global,first_road_own,first_settlement_global,first_settlement_own,first_city_global,first_city_own,first_dev_global,first_dev_own,first_lr_global,first_lr_own,first_la_global,first_la_own
full_ows,69,2,1,106,22,6,90,23,22,6,14,4,78,20,,
full_ows,69,3,0,106,23,6,,,,,7,2,,,,
full_ows,69,4,0,106,24,6,,,76,19,4,1,,,44,11
full_ows,70,1,0,118,25,7,,,97,25,5,2,,,93,24
full_ows,70,2,1,118,34,9,46,12,6,2,34,9,118,30,106,27
full_ows,70,3,0,118,19,5,,,,,15,4,35,9,,
full_ows,70,4,0,118,76,19,,,,,12,3,,,,
full_ows,71,1,1,97,5,2,93,24,45,12,13,4,89,23,,
full_ows,71,2,0,97,6,2,,,10,3,26,7,,,,
full_ows,71,3,0,97,27,7,43,11,51,13,3,1,39,10,,
full_ows,71,4,0,97,36,9,84,21,44,11,24,6,,,64,16
full_ows,72,1,1,165,77,20,105,27,25,7,9,3,141,36,65,17
full_ows,72,2,0,165,18,5,122,31,62,16,10,3,,,38,10
full_ows,72,3,0,165,7,2,119,30,139,35,15,4,27,7,,
full_ows,72,4,0,165,100,25,,,64,16,28,7,,,,
full_ows,73,1,0,127,,,,,105,27,5,2,,,37,10
full_ows,73,2,0,127,6,2,122,31,94,24,18,5,,,78,20
full_ows,73,3,1,127,3,1,91,23,67,17,7,2,19,5,,
full_ows,73,4,0,127,68,17,,,8,2,36,9,,,,
full_ows,74,1,0,142,21,6,,,9,3,89,23,,,,
full_ows,74,2,1,142,30,8,142,36,10,3,42,11,78,20,,
full_ows,74,3,0,142,15,4,,,11,3,35,9,39,10,,
full_ows,74,4,0,142,80,20,,,,,4,1,,,32,8
full_ows,75,1,0,167,145,37,,,113,29,17,5,,,,
full_ows,75,2,0,167,22,6,110,28,,,18,5,62,16,,
full_ows,75,3,1,167,11,3,107,27,23,6,7,2,,,19,5
full_ows,75,4,0,167,4,1,112,28,160,40,16,4,28,7,,
full_ows,76,1,0,123,21,6,,,,,9,3,,,93,24
full_ows,76,2,0,123,50,13,66,17,,,62,16,,,,
full_ows,76,3,1,123,11,3,123,31,67,17,3,1,43,11,27,7
full_ows,76,4,0,123,4,1,,,40,10,48,12,92,23,,
full_ows,77,1,0,114,37,10,97,25,13,4,17,5,,,,
full_ows,77,2,1,114,2,1,70,18,82,21,22,6,30,8,,
full_ows,77,3,0,114,3,1,15,4,,,35,9,55,14,75,19
full_ows,77,4,0,114,20,5,,,96,24,4,1,,,20,5
full_ows,78,1,1,117,1,1,53,14,13,4,45,12,61,16,,
full_ows,78,2,0,117,22,6,,,38,10,22,6,86,22,,
full_ows,78,3,0,117,11,3,,,43,11,3,1,,,,
full_ows,78,4,0,117,16,4,36,9,,,8,2,68,17,60,15
full_ows,79,1,0,115,1,1,105,27,81,21,13,4,21,6,,
full_ows,79,2,0,115,10,3,,,46,12,6,2,86,22,,
full_ows,79,3,1,115,3,1,51,13,43,11,7,2,115,29,19,5
full_ows,79,4,0,115,12,3,,,,,16,4,,,,
full_ows,80,1,1,189,53,14,161,41,85,22,13,4,157,40,,
full_ows,80,2,0,189,50,13,,,162,41,22,6,,,82,21
full_ows,80,3,0,189,7,2,55,14,183,46,11,3,47,12,,
full_ows,80,4,0,189,12,3,180,45,84,21,56,14,128,32,,
full_ows,81,1,0,140,37,10,,,13,4,9,3,,,,
full_ows,81,2,0,140,2,1,,,118,30,30,8,38,10,,
full_ows,81,3,0,140,,,,,,,19,5,,,67,17
full_ows,81,4,1,140,4,1,88,22,100,25,8,2,20,5,,
full_ows,82,1,0,127,9,3,,,,,21,6,,,,
full_ows,82,2,0,127,66,17,110,28,90,23,2,1,,,,
full_ows,82,3,1,127,3,1,127,32,39,10,7,2,35,9,39,10
full_ows,82,4,0,127,28,7,,,,,40,10,,,,
full_ows,83,1,1,165,1,1,153,39,13,4,97,25,65,17,,
full_ows,83,2,0,165,62,16,,,162,41,22,6,,,54,14
full_ows,83,3,0,165,27,7,107,27,,,23,6,,,87,22
full_ows,83,4,0,165,24,6,132,33,76,19,16,4,48,12,,
full_ows,84,1,1,85,13,4,73,19,53,14,5,2,45,12,29,8
full_ows,84,2,0,85,2,1,,,14,4,18,5,,,,
full_ows,84,3,0,85,67,17,,,3,1,7,2,,,,
full_ows,84,4,0,85,52,13,52,13,76,19,12,3,,,,
full_ows,85,1,1,121,1,1,105,27,77,20,5,2,89,23,,
full_ows,85,2,0,121,2,1,,,18,5,6,2,74,19,30,8
full_ows,85,3,0,121,31,8,91,23,75,19,3,1,,,,
full_ows,85,4,0,121,80,20,,,,,4,1,,,,
full_ows,86,1,1,185,5,2,165,42,109,28,21,6,,,49,13
full_ows,86,2,0,185,10,3,142,36,66,17,14,4,,,,
full_ows,86,3,0,185,19,5,175,44,111,28,43,11,,,,
full_ows,86,4,0,185,4,1,32,8,108,27,20,5,60,15,,
full_ows,87,1,0,108,13,4,89,23,,,5,2,,,,
full_ows,87,2,0,108,,,,,,,26,7,,,,
full_ows,87,3,0,108,,,,,91,23,3,1,,,43,11
full_ows,87,4,1,108,4,1,48,12,72,18,8,2,44,11,,
full_ows,88,1,0,68,37,10,,,25,7,45,12,,,,
full_ows,88,2,0,68,6,2,,,22,6,18,5,,,,
full_ows,88,3,0,68,31,8,,,11,3,3,1,,,,
full_ows,88,4,1,68,20,5,48,12,16,4,12,3,40,10,68,17
full_ows,89,1,0,67,5,2,41,11,,,61,16,,,,
full_ows,89,2,0,67,,,,,,,2,1,,,,
full_ows,89,3,1,67,7,2,51,13,,,3,1,27,7,35,9
full_ows,89,4,0,67,32,8,,,,,36,9,,,,
full_ows,90,1,0,151,73,19,,,,,21,6,,,45,12
full_ows,90,2,0,151,10,3,,,,,10,3,,,,
full_ows,90,3,1,151,11,3,55,14,131,33,23,6,39,10,,
full_ows,90,4,0,151,40,10,148,37,,,8,2,,,104,26
full_ows,91,1,0,116,21,6,,,109,28,41,11,,,,
full_ows,91,2,0,116,50,13,,,98,25,58,15,,,,
full_ows,91,3,0,116,95,24,,,,,11,3,,,39,10
full_ows,91,4,1,116,28,7,32,8,84,21,4,1,40,10,,
