variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
maritime_on,160,0,1,10,11,3,3,4,0,0,2.222805875353515
maritime_off,161,1,0,5,2,0,2,2,0,0,1.253099374473095
maritime_on,161,1,0,7,3,0,3,5,0,0,2.038284749723971
maritime_off,162,2,1,10,12,5,2,2,0,0,1.6769491247832775
maritime_on,162,2,1,10,9,3,2,3,1,0,1.4952290831133723
maritime_off,163,3,1,11,13,4,2,2,1,0,2.3137370832264423
maritime_on,163,3,0,9,8,4,1,7,0,0,1.9894816242158413
maritime_off,164,0,0,7,3,1,2,6,0,0,1.0953342504799366
maritime_on,164,0,1,10,5,0,4,7,0,0,1.789269708096981
maritime_off,165,1,0,5,3,0,2,3,0,0,1.292788416147232
maritime_on,165,1,1,10,9,0,4,3,0,0,1.6219785418361425
maritime_off,166,2,0,3,2,1,1,0,0,0,1.5939822494983673
maritime_on,166,2,0,4,5,0,2,2,0,0,1.7200066251680255
maritime_off,167,3,0,5,9,5,0,2,0,0,1.7107052495703101
maritime_on,167,3,1,10,11,5,2,6,0,0,2.7209979156032205
maritime_off,168,0,0,6,3,1,2,3,0,0,1.3383622076362371
maritime_on,168,0,0,8,4,0,4,5,0,0,1.5485398331657052
maritime_off,169,1,0,6,2,0,2,8,0,0,1.4902402916923165
maritime_on,169,1,0,6,2,0,2,8,0,0,1.9303589593619108
maritime_off,170,2,0,7,15,5,0,0,1,0,2.4702487494796515
maritime_on,170,2,1,10,13,5,1,4,1,0,2.402209708467126
maritime_off,171,3,0,4,9,4,0,6,0,0,1.6238688342273235
maritime_on,171,3,0,6,10,4,1,4,0,0,1.8249728754162788
maritime_off,172,0,1,10,6,2,3,4,0,0,1.359475875273347
maritime_on,172,0,1,10,4,1,3,10,0,0,1.5422383323311806
maritime_off,173,1,0,5,7,3,0,7,0,0,1.5327973747625947
maritime_on,173,1,0,6,4,1,2,6,0,0,1.7648429162800312
maritime_off,174,2,0,3,5,2,0,1,0,0,1.0599071243777871
maritime_on,174,2,0,3,4,3,0,2,0,0,1.6201339159160852
maritime_off,175,3,0,7,8,3,2,2,0,0,2.0783767495304346
maritime_on,175,3,0,9,9,1,4,0,0,0,2.3862597085535526
maritime_off,176,0,0,3,3,1,1,7,0,0,1.5526520414277911
maritime_on,176,0,0,5,3,2,1,7,0,0,1.1528652496635914
maritime_off,177,1,0,3,2,1,1,6,0,0,0.7189991250634193
maritime_on,177,1,0,8,7,1,3,5,0,0,1.66295912489295
maritime_off,178,2,0,4,15,2,0,0,1,0,2.3749325834214687
maritime_on,178,2,1,10,15,4,2,1,1,0,2.603054542094469
maritime_off,179,3,0,7,7,4,1,2,0,0,1.2526297075673938
maritime_on,179,3,1,10,7,4,2,2,0,0,1.2155459998175502
maritime_off,180,0,1,10,8,1,4,6,0,0,2.1946360832080245
maritime_on,180,0,0,8,4,0,3,7,0,0,1.7916173338890076
maritime_off,181,1,1,10,12,0,4,4,1,0,1.4987505413591862
maritime_on,181,1,0,8,6,2,2,5,0,0,2.3277771659195423
maritime_off,182,2,0,5,5,4,0,2,0,0,1.6945936661213636
maritime_on,182,2,0,8,11,4,2,6,0,0,2.875079708173871
maritime_off,183,3,0,8,15,5,1,5,0,0,2.242494166828692
maritime_on,183,3,1,10,15,4,3,4,0,0,2.3277077078819275
maritime_off,184,0,0,5,3,3,0,9,0,0,1.5172442495822906
maritime_on,184,0,1,10,7,1,3,5,0,0,1.6238365415483713
maritime_off,185,1,0,9,6,0,4,2,0,0,1.9319479167461395
maritime_on,185,1,0,8,5,0,3,5,0,0,1.610453125089407
maritime_off,186,2,0,8,15,5,0,2,1,0,2.4839430833235383
maritime_on,186,2,1,11,12,5,0,6,1,0,2.8479747092351317
maritime_off,187,3,1,10,14,4,2,0,1,0,1.9096693750470877
maritime_on,187,3,1,10,12,3,3,2,0,0,2.4631813326850533
maritime_off,188,0,0,9,4,0,4,6,0,0,2.3943100003525615
maritime_on,188,0,1,10,6,0,4,5,0,0,1.4072336656972766
maritime_off,189,1,0,4,2,0,2,6,0,0,1.2064675418660045
maritime_on,189,1,0,5,3,0,2,5,0,0,1.8499333756044507
maritime_off,190,2,0,5,10,1,2,1,0,0,1.8231885405257344
maritime_on,190,2,1,10,10,1,4,2,0,0,2.070053874514997
maritime_off,191,3,0,4,6,3,0,3,0,0,1.943221041932702
maritime_on,191,3,0,6,4,1,2,5,0,0,2.3372197076678276
maritime_off,192,0,0,7,3,0,3,5,0,0,1.3291668752208352
maritime_on,192,0,0,7,4,2,2,4,0,0,1.5229029171168804
maritime_off,193,1,0,5,2,0,2,2,0,0,1.9312377078458667
maritime_on,193,1,0,9,4,0,3,6,0,0,2.1598497927188873
maritime_off,194,2,0,6,6,2,2,1,0,0,1.3355648750439286
maritime_on,194,2,0,7,7,4,1,3,0,0,1.4329517921432853
maritime_off,195,3,0,3,10,3,0,2,0,0,1.5795365422964096
maritime_on,195,3,0,5,10,4,0,3,0,0,1.6495239166542888
maritime_off,196,0,0,6,3,0,3,4,0,0,1.3546580830588937
maritime_on,196,0,0,4,4,2,1,4,0,0,1.0623029172420502
maritime_off,197,1,0,2,2,2,0,1,0,0,2.0784097081050277
