variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
road_building_off,114,2,0,8,10,5,0,4,1,0,1.7366563323885202
road_building_on,114,2,0,8,10,5,0,4,1,0,1.6937881661579013
road_building_off,115,3,1,10,10,3,3,4,0,0,2.537363917566836
road_building_on,115,3,1,10,10,3,3,4,0,0,2.4447163343429565
road_building_off,116,0,0,8,11,4,1,7,0,0,2.277653666213155
road_building_on,116,0,0,8,11,4,1,7,0,0,2.2636870415881276
road_building_off,117,1,0,9,14,4,2,6,0,0,3.211751291528344
road_building_on,117,1,0,9,14,4,2,6,0,0,3.234768332913518
road_building_off,118,2,0,9,12,4,1,3,1,0,2.2748704170808196
road_building_on,118,2,0,9,12,4,1,3,1,0,2.3175636250525713
road_building_off,119,3,0,9,13,4,1,6,1,0,2.399397167377174
road_building_on,119,3,0,9,13,4,1,6,1,0,2.30210645776242
road_building_off,120,0,0,6,8,2,2,6,0,0,1.8240348752588034
road_building_on,120,0,0,8,8,2,3,5,0,0,4.570435707457364
road_building_off,121,1,1,10,10,3,3,2,0,0,2.05854654032737
road_building_on,121,1,1,10,10,3,3,2,0,0,2.0763628743588924
road_building_off,122,2,1,10,12,5,1,4,1,0,2.367318917065859
road_building_on,122,2,1,10,12,5,1,4,1,0,2.3622087091207504
road_building_off,123,3,0,9,11,5,0,6,1,0,2.337314458563924
road_building_on,123,3,0,9,11,5,0,6,1,0,2.7834609169512987
road_building_off,124,0,1,10,6,2,3,8,0,0,2.725008958019316
road_building_on,124,0,1,10,6,2,3,8,0,0,2.7347792079672217
road_building_off,125,1,1,10,14,5,1,4,1,0,2.412324083968997
road_building_on,125,1,1,10,14,5,1,4,1,0,2.4415382081642747
road_building_off,126,2,0,6,11,5,0,4,0,0,2.334283374249935
road_building_on,126,2,0,6,11,5,0,4,0,0,2.2454291246831417
road_building_off,127,3,0,5,11,5,0,3,0,0,2.50844016764313
road_building_on,127,3,0,5,11,5,0,3,0,0,2.4563784999772906
road_building_off,128,0,0,8,11,4,2,7,0,0,2.3806501673534513
road_building_on,128,0,0,8,11,4,2,7,0,0,2.381834000349045
road_building_off,129,1,0,9,9,3,3,3,0,0,2.3292342079803348
road_building_on,129,1,0,9,9,3,3,3,0,0,2.3069336246699095
road_building_off,130,2,1,10,9,3,2,7,1,0,2.2873943746089935
road_building_on,130,2,1,10,9,3,2,7,1,0,2.293434042483568
road_building_off,131,3,1,10,9,5,2,7,0,0,2.3086722502484918
road_building_on,131,3,1,10,9,5,2,7,0,0,2.291852083057165
road_building_off,132,0,1,10,10,4,1,7,1,0,1.8441178752109408
road_building_on,132,0,1,10,11,5,1,7,1,0,2.462707333266735
road_building_off,133,1,0,9,12,5,1,4,0,0,2.4528506249189377
road_building_on,133,1,0,9,12,5,1,4,0,0,2.3787472089752555
road_building_off,134,2,1,10,13,3,2,3,1,0,1.8694869168102741
road_building_on,134,2,1,10,13,3,2,3,1,0,1.8588385842740536
road_building_off,135,3,0,8,10,3,2,4,0,0,1.9636675408110023
road_building_on,135,3,0,8,5,0,3,8,0,0,2.2485872078686953
road_building_off,136,0,1,10,5,1,3,6,0,0,2.266238458454609
road_building_on,136,0,1,10,5,1,3,6,0,0,2.303035583347082
road_building_off,137,1,0,7,3,0,3,2,0,0,1.146615625359118
road_building_on,137,1,0,7,3,0,3,2,0,0,1.1498937085270882
road_building_off,138,2,0,7,13,4,1,6,0,0,2.3205973329022527
road_building_on,138,2,0,7,13,4,1,6,0,0,2.3162232087925076
road_building_off,139,3,1,10,13,4,2,9,0,0,3.6046579582616687
road_building_on,139,3,1,10,13,4,2,9,0,0,3.5887732077389956
road_building_off,140,0,0,8,5,1,3,4,0,0,2.2725239573046565
road_building_on,140,0,0,8,5,1,3,4,0,0,2.2061069579795003
road_building_off,141,1,0,9,3,1,2,6,0,0,1.891251708380878
road_building_on,141,1,0,8,5,1,3,4,0,0,1.9860605420544744
road_building_off,142,2,0,6,4,2,1,6,0,0,1.9956025825813413
road_building_on,142,2,0,6,4,2,1,6,0,0,1.9964790418744087
road_building_off,143,3,1,10,9,0,4,3,1,0,1.6303092502057552
road_building_on,143,3,1,10,9,0,4,3,1,0,1.6347478330135345
road_building_off,144,0,1,10,8,3,2,6,0,0,1.8820872493088245
road_building_on,144,0,0,9,6,4,1,6,0,0,1.8111623749136925
road_building_off,145,1,0,8,7,3,2,2,0,0,2.119727791287005
road_building_on,145,1,0,8,7,3,2,2,0,0,2.115259832702577
road_building_off,146,2,1,10,10,5,1,5,1,0,1.436188374646008
road_building_on,146,2,1,10,8,2,3,7,0,0,1.9972259169444442
road_building_off,147,3,0,8,5,1,3,6,0,0,1.8551053749397397
road_building_on,147,3,0,7,5,0,3,5,0,0,1.567285000346601
road_building_off,148,0,0,9,12,4,1,2,1,0,1.4351437501609325
road_building_on,148,0,0,9,12,4,1,2,1,0,1.4364134585484862
road_building_off,149,1,1,10,12,4,2,3,1,0,2.0254217507317662
road_building_on,149,1,1,10,12,4,2,3,1,0,2.0175037076696754
road_building_off,150,2,0,5,11,5,0,6,0,0,1.8723632087931037
road_building_on,150,2,1,10,15,5,1,7,1,0,3.097494333051145
road_building_off,151,3,0,4,7,4,0,2,0,0,1.713938208296895
road_building_on,151,3,0,5,8,5,0,2,0,0,2.1394467083737254
road_building_off,152,0,0,4,6,2,1,0,0,0,0.7946091666817665
road_building_on,152,0,0,4,6,2,1,0,0,0,0.7931926250457764
road_building_off,153,1,1,10,9,4,1,4,1,0,1.7022608751431108
road_building_on,153,1,1,10,9,4,1,4,1,0,1.7024201666936278
road_building_off,154,2,0,4,5,4,0,1,0,0,1.156536165624857
road_building_on,154,2,0,4,5,4,0,1,0,0,1.1665584165602922
road_building_off,155,3,1,10,14,5,1,4,1,0,2.2200934160500765
road_building_on,155,3,1,10,15,5,1,3,1,0,2.3285161247476935
road_building_off,156,0,1,10,6,2,3,5,0,0,1.8175287498161197
road_building_on,156,0,1,10,6,2,3,5,0,0,1.8723674174398184
road_building_off,157,1,1,10,9,4,2,3,0,0,2.649157166481018
road_building_on,157,1,1,10,9,4,2,3,0,0,2.6444919584318995
road_building_off,158,2,1,10,6,1,4,1,0,0,1.6957965837791562
road_building_on,158,2,1,10,6,1,4,1,0,0,1.6916253343224525
road_building_off,159,3,0,8,6,3,2,5,0,0,1.4460865836590528
road_building_on,159,3,0,8,6,3,2,5,0,0,1.4382274579256773
road_building_off,160,0,1,10,10,1,4,4,0,0,2.33887991681695
road_building_on,160,0,1,10,8,1,4,5,0,0,2.215907665900886
road_building_off,161,1,1,10,12,4,2,0,1,0,2.0976706678047776
road_building_on,161,1,1,10,12,4,2,0,1,0,2.1076567508280277
road_building_off,162,2,1,10,10,4,1,2,1,0,1.5944480411708355
road_building_on,162,2,1,10,10,4,1,2,1,0,1.597128459252417
road_building_off,163,3,0,9,8,4,1,7,0,0,2.0034177927300334
road_building_on,163,3,0,9,8,4,1,7,0,0,1.9934089165180922
road_building_off,164,0,0,5,9,5,0,3,0,0,1.1818762924522161
road_building_on,164,0,0,5,9,5,0,3,0,0,1.1922482075169683
road_building_off,165,1,0,4,3,1,1,7,0,0,1.562458791770041
road_building_on,165,1,0,4,6,3,0,5,0,0,1.2749895425513387
road_building_off,166,2,0,9,11,5,2,3,0,0,2.5454229582101107
road_building_on,166,2,0,9,11,5,2,3,0,0,2.537893833592534
road_building_off,167,3,1,10,11,5,2,6,0,0,2.7150270845741034
road_building_on,167,3,1,10,11,5,2,6,0,0,2.7315624579787254
road_building_off,168,0,0,8,3,0,3,7,0,0,1.728984790854156
road_building_on,168,0,0,8,8,2,3,4,0,0,6.995042750611901
road_building_off,169,1,0,2,11,2,0,1,0,0,1.2335830833762884
road_building_on,169,1,0,2,11,2,0,1,0,0,1.234272874891758
road_building_off,170,2,0,6,10,4,1,3,0,0,1.9343347093090415
road_building_on,170,2,0,6,10,4,1,3,0,0,1.9381691673770547
road_building_off,171,3,0,6,10,4,1,4,0,0,1.8743722904473543
road_building_on,171,3,0,6,10,4,1,4,0,0,1.8325124578550458
road_building_off,172,0,1,10,13,3,2,4,1,0,1.8601484997197986
road_building_on,172,0,1,10,13,3,2,4,1,0,1.8581694578751922
road_building_off,173,1,0,6,5,3,1,1,0,0,1.940982417203486
road_building_on,173,1,0,6,5,3,1,1,0,0,1.9425980001688004
road_building_off,174,2,0,6,6,4,0,2,0,0,0.8800214165821671
road_building_on,174,2,0,6,6,4,0,2,0,0,0.9000289160758257
road_building_off,175,3,0,9,9,1,4,0,0,0,2.4124022498726845
road_building_on,175,3,0,9,9,1,4,0,0,0,2.4404387501999736
road_building_off,176,0,1,10,12,4,1,3,1,0,1.6348780831322074
road_building_on,176,0,1,10,12,4,1,3,1,0,1.655904040671885
road_building_off,177,1,0,8,11,5,1,3,0,0,2.168458624742925
road_building_on,177,1,0,8,11,5,1,3,0,0,2.180508124642074
road_building_off,178,2,0,6,10,4,1,3,0,0,2.2193517088890076
road_building_on,178,2,0,6,10,4,1,3,0,0,2.2068186663091183
road_building_off,179,3,1,10,7,4,2,2,0,0,1.2332190424203873
road_building_on,179,3,1,10,7,4,2,2,0,0,1.2583837918937206
road_building_off,180,0,1,10,10,5,2,3,0,0,2.0246873749420047
road_building_on,180,0,1,10,10,5,2,3,0,0,2.028403707779944
road_building_off,181,1,1,10,8,1,4,7,0,0,2.7786015840247273
road_building_on,181,1,0,7,8,5,0,4,0,0,2.3389342920854688
road_building_off,182,2,1,11,14,4,2,4,1,0,2.2912089582532644
road_building_on,182,2,1,11,14,4,2,4,1,0,2.254189083352685
road_building_off,183,3,1,10,15,4,3,4,0,0,2.362947417423129
road_building_on,183,3,1,10,15,4,3,4,0,0,2.3428429160267115
road_building_off,184,0,1,10,12,5,1,7,1,0,2.467058042064309
road_building_on,184,0,1,10,12,5,1,7,1,0,2.4689350835978985
road_building_off,185,1,1,10,15,4,2,2,1,0,2.346455500461161
road_building_on,185,1,1,10,15,4,2,2,1,0,2.4011796675622463
road_building_off,186,2,0,4,3,3,0,3,0,0,1.3766811657696962
road_building_on,186,2,0,6,9,5,0,2,0,0,1.7395464992150664
road_building_off,187,3,1,10,12,3,3,2,0,0,2.4737080419436097
road_building_on,187,3,1,10,12,3,3,2,0,0,2.4597859168425202
road_building_off,188,0,0,7,6,1,3,2,0,0,1.5271328333765268
road_building_on,188,0,0,7,6,1,3,2,0,0,1.5205048751085997
road_building_off,189,1,1,10,7,1,4,2,0,0,2.1422782503068447
road_building_on,189,1,0,8,9,3,2,2,0,0,2.225251958705485
road_building_off,190,2,0,6,9,5,0,5,0,0,1.5379844587296247
road_building_on,190,2,0,6,9,5,0,5,0,0,1.5348471654579043
road_building_off,191,3,0,6,4,1,2,5,0,0,2.345152792520821
road_building_on,191,3,0,6,4,1,2,5,0,0,2.345875833183527
road_building_off,192,0,1,10,14,4,2,2,1,0,2.1468147914856672
road_building_on,192,0,1,10,14,4,2,2,1,0,2.1271508745849133
road_building_off,193,1,0,7,13,5,0,7,1,0,2.0687877079471946
road_building_on,193,1,0,9,15,4,1,8,1,0,2.5439663333818316
road_building_off,194,2,0,7,7,4,1,3,0,0,1.4362363331019878
road_building_on,194,2,0,7,7,4,1,3,0,0,1.4546803338453174
road_building_off,195,3,0,5,10,4,0,3,0,0,1.6689267503097653
