seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
136,0,1,1,0,10,10,0,5,5,0,1,1,0,3,3,0,6,6,0,0,0,0,0,0,0,2.266238458454609,2.303035583347082,0.03679712489247322
137,1,0,0,0,7,7,0,3,3,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,1.146615625359118,1.1498937085270882,0.0032780831679701805
138,2,0,0,0,7,7,0,13,13,0,4,4,0,1,1,0,6,6,0,0,0,0,0,0,0,2.3205973329022527,2.3162232087925076,-0.004374124109745026
139,3,1,1,0,10,10,0,13,13,0,4,4,0,2,2,0,9,9,0,0,0,0,0,0,0,3.6046579582616687,3.5887732077389956,-0.01588475052267313
140,0,0,0,0,8,8,0,5,5,0,1,1,0,3,3,0,4,4,0,0,0,0,0,0,0,2.2725239573046565,2.2061069579795003,-0.06641699932515621
141,1,0,0,0,9,8,-1,3,5,2,1,1,0,2,3,1,6,4,-2,0,0,0,0,0,0,1.891251708380878,1.9860605420544744,0.09480883367359638
142,2,0,0,0,6,6,0,4,4,0,2,2,0,1,1,0,6,6,0,0,0,0,0,0,0,1.9956025825813413,1.9964790418744087,0.0008764592930674553
143,3,1,1,0,10,10,0,9,9,0,0,0,0,4,4,0,3,3,0,1,1,0,0,0,0,1.6303092502057552,1.6347478330135345,0.004438582807779312
144,0,1,0,-1,10,9,-1,8,6,-2,3,4,1,2,1,-1,6,6,0,0,0,0,0,0,0,1.8820872493088245,1.8111623749136925,-0.07092487439513206
145,1,0,0,0,8,8,0,7,7,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,2.119727791287005,2.115259832702577,-0.0044679585844278336
146,2,1,1,0,10,10,0,10,8,-2,5,2,-3,1,3,2,5,7,2,1,0,-1,0,0,0,1.436188374646008,1.9972259169444442,0.5610375422984362
147,3,0,0,0,8,7,-1,5,5,0,1,0,-1,3,3,0,6,5,-1,0,0,0,0,0,0,1.8551053749397397,1.567285000346601,-0.2878203745931387
148,0,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,2,2,0,1,1,0,0,0,0,1.4351437501609325,1.4364134585484862,0.0012697083875536919
149,1,1,1,0,10,10,0,12,12,0,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,2.0254217507317662,2.0175037076696754,-0.007918043062090874
150,2,0,1,1,5,10,5,11,15,4,5,5,0,0,1,1,6,7,1,0,1,1,0,0,0,1.8723632087931037,3.097494333051145,1.2251311242580414
151,3,0,0,0,4,5,1,7,8,1,4,5,1,0,0,0,2,2,0,0,0,0,0,0,0,1.713938208296895,2.1394467083737254,0.4255085000768304
152,0,0,0,0,4,4,0,6,6,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.7946091666817665,0.7931926250457764,-0.0014165416359901428
153,1,1,1,0,10,10,0,9,9,0,4,4,0,1,1,0,4,4,0,1,1,0,0,0,0,1.7022608751431108,1.7024201666936278,0.00015929155051708221
154,2,0,0,0,4,4,0,5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1.156536165624857,1.1665584165602922,0.010022250935435295
155,3,1,1,0,10,10,0,14,15,1,5,5,0,1,1,0,4,3,-1,1,1,0,0,0,0,2.2200934160500765,2.3285161247476935,0.10842270869761705
156,0,1,1,0,10,10,0,6,6,0,2,2,0,3,3,0,5,5,0,0,0,0,0,0,0,1.8175287498161197,1.8723674174398184,0.05483866762369871
157,1,1,1,0,10,10,0,9,9,0,4,4,0,2,2,0,3,3,0,0,0,0,0,0,0,2.649157166481018,2.6444919584318995,-0.004665208049118519
158,2,1,1,0,10,10,0,6,6,0,1,1,0,4,4,0,1,1,0,0,0,0,0,0,0,1.6957965837791562,1.6916253343224525,-0.004171249456703663
159,3,0,0,0,8,8,0,6,6,0,3,3,0,2,2,0,5,5,0,0,0,0,0,0,0,1.4460865836590528,1.4382274579256773,-0.00785912573337555
160,0,1,1,0,10,10,0,10,8,-2,1,1,0,4,4,0,4,5,1,0,0,0,0,0,0,2.33887991681695,2.215907665900886,-0.12297225091606379
161,1,1,1,0,10,10,0,12,12,0,4,4,0,2,2,0,0,0,0,1,1,0,0,0,0,2.0976706678047776,2.1076567508280277,0.009986083023250103
