seed_block,game_seed,lineup_index,lineup,rotation,seat,player_id,strategy,winner,game_finished,turns,victory_points,roads,settlements,cities,knights,largest_army,longest_road,dev_vp
0,0,8,full_ows|road_building|five_resource|port,2,2,1,port,0,1,81,5,11,2,1,0,0,0,1
0,0,8,full_ows|road_building|five_resource|port,2,3,2,full_ows,0,1,81,5,3,2,0,1,0,0,3
0,0,8,full_ows|road_building|five_resource|port,2,4,3,road_building,0,1,81,2,10,2,0,0,0,0,0
0,0,8,full_ows|road_building|five_resource|port,3,1,0,port,0,1,134,8,15,4,1,0,0,1,0
0,0,8,full_ows|road_building|five_resource|port,3,2,1,full_ows,1,1,134,10,6,1,1,7,1,0,5
0,0,8,full_ows|road_building|five_resource|port,3,3,2,road_building,0,1,134,7,15,1,3,0,0,0,0
0,0,8,full_ows|road_building|five_resource|port,3,4,3,five_resource,0,1,134,7,13,1,3,0,0,0,0
0,0,9,full_ows|roads_and_cities|five_resource|port,0,1,0,full_ows,0,1,126,5,7,3,0,6,1,0,0
0,0,9,full_ows|roads_and_cities|five_resource|port,0,2,1,roads_and_cities,1,1,126,10,9,0,4,0,0,0,2
0,0,9,full_ows|roads_and_cities|five_resource|port,0,3,2,five_resource,0,1,126,5,12,3,0,0,0,0,2
0,0,9,full_ows|roads_and_cities|five_resource|port,0,4,3,port,0,1,126,6,15,2,1,0,0,1,0
0,0,9,full_ows|roads_and_cities|five_resource|port,1,1,0,roads_and_cities,0,1,127,9,15,0,4,0,0,0,1
0,0,9,full_ows|roads_and_cities|five_resource|port,1,2,1,five_resource,0,1,127,3,14,2,0,0,0,0,1
0,0,9,full_ows|roads_and_cities|five_resource|port,1,3,2,port,1,1,127,10,15,0,4,0,0,1,0
0,0,9,full_ows|roads_and_cities|five_resource|port,1,4,3,full_ows,0,1,127,7,4,2,0,5,1,0,3
0,0,9,full_ows|roads_and_cities|five_resource|port,2,1,0,five_resource,1,1,161,10,15,1,4,0,0,0,1
